Serial Number,Gender,Age Action,Exp Action,SUP-Gender,SUP-Age Action,SUP-Exp Action,Re-Entry,MPT,Ed Allowance,House Loan,Resign
A71,0,60.1260274,35.02465753,1,32.86027397,10.67671233,0,1,0,0,0
A72,0,60.11780822,41.19178082,1,36.52054795,15.9260274,0,1,0,0,0
A73,0,60.12328767,32.35342466,1,59.70410959,32.35342466,0,1,0,0,0
A74,0,60.1260274,38.2739726,1,54.5369863,32.77260274,0,0,0,0,0
A75,0,60.1260274,34.60547945,1,53.53150685,34.60547945,0,0,0,0,0
A76,0,60.1260274,31.60273973,1,55.61917808,31.60273973,0,0,0,0,0
A77,0,60.1260274,37.69315068,1,36.94246575,7.838356164,0,0,0,0,0
A78,0,60.12328767,31.35068493,1,55.36712329,31.35068493,0,0,0,0,0
A79,0,60.1260274,34.10958904,1,35.61369863,11.34520548,0,0,0,0,0
A80,0,60.1260274,34.77534247,0,0,0,0,1,0,0,0
A81,0,60.11780822,34.18630137,1,33.26849315,12.5890411,0,1,0,0,0
A82,0,60.12328767,36.35616438,1,58.5369863,33.10684932,0,1,0,0,0
A83,0,60.1260274,31.43561644,1,33.60273973,10.09041096,0,0,0,0,0
A84,0,60.1260274,34.85753425,1,31.5260274,10.50958904,0,0,0,0,0
A85,0,60.1260274,35.02465753,1,34.02191781,11.67945205,0,0,0,0,0
A86,0,58.62191781,36.52328767,2,41.6109589,10.34246575,0,1,0,0,0
A87,0,58.8739726,32.27123288,0,0,0,0,1,0,0,0
A88,0,60.12328767,33.35342466,0,0,0,0,1,0,0,0
A89,0,60.1260274,33.60547945,1,38.19452055,15.75890411,0,1,0,0,0
A90,1,60.11780822,35.43835616,1,55.70410959,21.17534247,0,1,0,0,0
A91,0,60.1260274,32.69041096,1,29.51780822,4.254794521,0,0,0,0,0
A92,0,60.12328767,32.77260274,1,51.45479452,31.44109589,0,0,0,0,0
A93,1,56.12054795,32.35342466,0,0,0,0,1,0,0,0
A94,0,60.04109589,30.68767123,0,0,0,0,1,0,0,0
A95,0,55.61917808,31.51780822,1,47.44383562,27.84931507,0,0,0,0,0
A96,0,58.62739726,34.36164384,1,49.36986301,23.18356164,0,0,0,0,0
A97,0,58.95890411,32.18630137,0,0,0,0,1,0,0,0
A98,1,53.28493151,31.51780822,0,0,0,0,1,0,0,1
A99,0,59.45205479,31.43287671,1,30.76712329,9.17260274,0,0,0,0,0
A100,1,56.53424658,33.2739726,0,0,0,0,1,0,0,0
A101,1,55.45205479,32.02191781,2,44.78082192,6.838356164,0,1,0,0,0
A102,1,55.12328767,33.86027397,0,0,0,0,1,0,0,0
A103,0,54.37534247,29.6,0,0,0,0,0,0,0,0
A104,0,50.95068493,30.43835616,1,59.79452055,32.35616438,0,0,0,0,1
A105,0,60.12328767,36.19178082,1,51.28767123,25.35342466,0,1,0,1,0
A106,0,60.1260274,34.27671233,1,39.02739726,6.753424658,0,0,0,0,0
A107,0,54.78356164,30.68219178,1,33.68493151,10.17260274,0,0,0,0,0
A108,0,58.45753425,30.35616438,2,45.11506849,12.59726027,0,1,0,0,0
A109,0,60.11780822,34.26849315,1,41.77534247,11.5890411,0,1,0,0,0
A110,0,58.20821918,31.43561644,1,55.45205479,30.10410959,0,1,0,0,0
A111,0,60.1260274,30.76986301,0,0,0,0,1,0,0,0
A112,0,56.12328767,31.77260274,0,0,0,0,1,0,0,0
A113,0,56.03835616,31.18630137,1,37.60547945,8.920547945,0,0,0,0,0
A114,0,54.36986301,30.76712329,1,30.76712329,9.17260274,0,0,0,0,0
A115,0,60.1260274,31.76986301,1,35.10684932,13.51232877,0,1,0,0,0
A116,1,59.46027397,32.76986301,1,38.36164384,15.9260274,0,1,0,0,0
A117,0,58.79178082,32.35616438,1,42.52876712,19.59452055,0,1,0,0,0
A118,0,60.1260274,30.69041096,1,49.28493151,25.26849315,0,0,0,0,0
A119,0,57.20273973,31.18356164,0,0,0,0,1,0,0,0
A120,1,55.12328767,31.02191781,0,0,0,0,1,0,0,0
A121,1,60.1260274,41.8630137,2,35.19178082,6.58630137,0,1,0,0,0
A122,1,54.53972603,32.44109589,0,0,0,0,1,0,0,1
A123,1,53.78356164,30.84931507,1,44.77808219,17.84109589,0,0,0,0,0
A124,0,61.04109589,28.48767123,0,0,0,0,1,0,0,0
A125,0,59.70684932,30.68767123,1,45.53150685,21.76712329,0,1,0,0,0
A126,1,57.20273973,30.77260274,0,0,0,0,1,0,0,0
A127,0,54.95342466,35.02465753,1,51.20273973,31.9369863,0,0,0,0,0
A128,0,56.79178082,30.77260274,1,52.5369863,24.76986301,0,1,0,0,0
A129,0,53.53150685,29.76712329,1,47.44383562,27.84931507,0,0,0,0,0
A130,1,53.45205479,30.68767123,2,50.70136986,20.43013699,0,1,0,0,1
A131,0,55.03835616,29.26849315,0,0,0,0,0,0,0,0
A132,0,53.78356164,30.01917808,1,37.60547945,8.920547945,0,0,0,0,0
A133,0,51.03561644,30.77260274,1,40.6109589,9.254794521,0,1,0,0,0
A134,0,60.1260274,40.11232877,1,38.35616438,13.09315068,0,1,0,1,0
A135,0,60.12328767,37.19178082,1,35.43561644,10.17260274,0,1,0,0,0
A136,0,60.11780822,40.86027397,1,50.11232877,23.93150685,0,0,0,1,0
A137,0,60.04109589,28.9369863,0,0,0,0,0,0,0,0
A138,0,60.12328767,38.6109589,1,39.85753425,15.34246575,0,0,0,0,0
A139,0,61.11780822,29.85205479,1,52.11232877,28.01917808,0,0,0,0,0
A140,0,55.61917808,30.09589041,1,54.86849315,31.18356164,0,0,0,0,0
A141,0,60.1260274,34.2739726,1,39.19178082,11.25753425,0,1,0,0,0
A142,0,56.78630137,36.35342466,1,55.78630137,31.76986301,0,0,0,0,0
A143,0,52.03561644,29.43013699,1,47.44383562,27.84931507,0,0,0,0,0
A144,0,55.87123288,30.35068493,2,35.93972603,8.005479452,0,0,0,0,0
A145,0,60.04109589,28.18630137,0,0,0,0,1,0,0,0
A146,0,56.96164384,33.6109589,1,50.36986301,11.67945205,0,0,0,0,0
A147,0,49.20273973,30.27123288,2,46.52876712,14.0109589,0,0,0,0,1
A148,0,60.1260274,34.44383562,1,54.12328767,30.10684932,0,1,0,0,0
A149,0,57.12328767,31.77534247,1,47.61917808,22.68767123,0,1,0,0,0
A150,1,54.37534247,32.5260274,1,39.60821918,10.84109589,0,1,0,0,1
A151,0,52.20547945,29.27123288,1,54.03561644,32.5260274,0,0,0,0,1
A152,0,56.45753425,34.85479452,1,40.02739726,16.67671233,0,0,0,0,0
A153,0,59.62191781,30.02191781,0,0,0,0,1,0,0,0
A154,0,54.54246575,27.50958904,0,0,0,0,1,0,0,0
A155,0,52.12054795,31.68767123,1,48.61643836,29.35068493,0,0,0,0,1
A156,0,54.11506849,36.18630137,1,40.77534247,12.84109589,0,1,0,1,1
A157,0,51.78356164,30.02191781,0,0,0,0,1,0,0,1
A158,0,60.1260274,30.68767123,1,31.77260274,8.090410959,0,0,0,0,0
A159,0,60.1260274,34.60547945,1,37.60821918,14.25753425,0,0,0,0,0
A160,0,49.11780822,29.85205479,1,51.28767123,27.27123288,0,1,0,0,1
A161,0,49.52876712,27.76712329,0,0,0,0,0,0,0,0
A162,1,60.1260274,39.27945205,1,55.29041096,28.35342466,0,1,0,0,0
A163,0,54.53150685,28.68219178,1,47.44383562,27.84931507,0,0,0,0,0
A164,0,60.1260274,37.10958904,1,39.02465753,17.68219178,0,1,0,0,0
A165,0,59.62191781,29.43013699,1,30.76712329,9.17260274,0,0,0,0,0
A166,0,53.03561644,28.43013699,0,0,0,0,0,0,0,0
A167,0,53.36986301,28.18630137,0,0,0,0,0,0,0,0
A168,0,57.28767123,27.93424658,0,0,0,0,0,0,0,0
A169,0,49.78356164,30.76986301,1,49.11780822,22.93150685,0,0,0,0,1
A170,0,59.37260274,36.93972603,0,0,0,0,0,0,0,0
A171,0,53.86575342,28.6,1,47.44383562,27.84931507,0,0,0,0,0
A172,0,56.29041096,30.10684932,1,36.02465753,10.09315068,0,0,0,0,0
A173,0,55.29041096,29.52054795,1,38.5260274,5.838356164,0,0,0,0,0
A174,0,60.1260274,35.36164384,1,32.1890411,11.59452055,0,1,0,1,0
A175,1,61.04109589,27.18082192,0,0,0,0,1,0,0,0
A176,0,60.1260274,37.11232877,2,49.12054795,11.17808219,0,1,0,0,0
A177,0,60.1260274,28.6,0,0,0,0,1,0,0,0
A178,0,51.86849315,29.10684932,2,36.5260274,15.84383562,0,1,0,0,1
A179,0,53.53150685,28.35342466,1,30.76712329,9.17260274,0,0,0,0,0
A180,1,56.20547945,29.2739726,0,0,0,0,1,0,0,0
A181,0,55.53424658,28.35342466,1,30.76712329,9.17260274,0,0,0,0,0
A182,1,60.1260274,37.61369863,2,47.03287671,23.35342466,0,0,0,0,0
A183,1,54.37260274,32.60821918,0,0,0,0,1,0,0,1
A184,0,52.61917808,29.02191781,1,45.53150685,21.76712329,0,1,0,0,1
A185,0,58.37534247,29.77534247,1,37.53150685,10.00821918,0,0,0,0,0
A186,0,59.36986301,28.72328767,0,0,0,0,1,0,0,0
A187,1,52.03561644,31.02191781,2,33.69041096,9.254794521,0,1,0,0,1
A188,1,57.45753425,30.5260274,1,49.36986301,23.18356164,0,1,0,0,0
A189,0,47.2,31.35616438,1,49.28493151,10.59452055,0,0,0,0,1
A190,0,57.62465753,31.60821918,1,38.10958904,8.509589041,0,0,0,0,0
A191,0,45.5260274,28.10136986,1,30.76712329,9.17260274,0,0,0,0,0
A192,0,54.70136986,27.85205479,1,32.85479452,12.9260274,0,0,0,0,1
A193,0,60.1260274,29.85479452,1,58.20273973,32.35342466,0,0,0,0,0
A194,0,60.12328767,30.52328767,1,40.19452055,16.43013699,0,0,0,0,0
A195,0,57.79178082,36.5260274,0,0,0,0,0,0,0,0
A196,0,50.78356164,32.93972603,1,35.35342466,14.0109589,0,0,0,0,1
A197,0,50.69863014,29.02191781,1,33.77260274,7.668493151,0,0,0,0,1
A198,0,54.53150685,28.01917808,1,47.44383562,27.84931507,0,0,0,0,0
A199,0,51.12054795,28.77260274,1,53.45205479,25.26575342,0,1,0,0,0
A200,0,55.95616438,30.77260274,1,38.27945205,9.257534247,0,0,0,0,0
A201,1,50.78356164,30.35890411,1,49.36986301,23.18356164,0,1,0,0,1
A202,0,52.53150685,27.01917808,0,0,0,0,0,0,0,0
A203,0,53.61643836,27.01917808,0,0,0,0,0,0,0,0
A204,0,60.1260274,33.52876712,1,37.36164384,14.0109589,0,0,0,0,0
A205,0,56.7890411,32.77260274,1,39.94246575,12.00821918,0,1,0,0,0
A206,0,50.69863014,28.01917808,0,0,0,0,1,0,0,1
A207,0,52.53150685,30.02191781,1,33.93972603,10.5890411,0,0,0,0,1
A208,0,60.12328767,39.36164384,1,56.53972603,29.68767123,0,1,0,1,0
A209,0,59.62191781,29.60273973,1,55.70136986,34.19178082,0,0,0,0,0
A210,0,49.61369863,26.76712329,0,0,0,0,0,0,0,0
A211,0,60.1260274,29.85479452,0,0,0,0,1,0,0,0
A212,0,54.03835616,28.43561644,0,0,0,0,1,0,0,1
A213,0,58.46027397,30.77534247,1,36.27671233,12.51232877,0,1,0,0,0
A214,0,50.69589041,27.68219178,1,30.76712329,9.17260274,0,0,0,0,0
A215,0,56.78630137,27.76712329,1,30.76712329,9.17260274,0,0,0,0,0
A216,0,53.20273973,27.6,1,49.03287671,17.9260274,0,1,0,0,1
A217,0,55.87123288,28.18630137,1,37.43835616,4.750684932,0,0,0,0,0
A218,0,50.86575342,27.35068493,1,35.02191781,13.00821918,0,1,0,0,1
A219,0,51.78630137,28.35342466,1,42.6109589,15.67671233,0,1,0,0,1
A220,1,53.70958904,30.5260274,0,0,0,0,1,0,0,1
A221,0,51.86575342,27.68219178,0,0,0,0,0,0,0,0
A222,0,57.12054795,27.51506849,0,0,0,0,0,0,0,0
A223,0,50.03287671,27.51506849,0,0,0,0,0,0,0,0
A224,0,57.95342466,36.77260274,1,51.03287671,26.43561644,0,0,0,0,0
A225,0,59.62191781,28.51506849,1,30.76712329,9.17260274,0,0,0,0,0
A226,0,48.36438356,29.02191781,1,32.43835616,7.082191781,0,1,0,0,1
A227,0,49.28219178,27.26849315,0,0,0,0,0,0,0,0
A228,0,53.78356164,28.10136986,1,30.76712329,9.17260274,0,0,0,0,0
A229,0,57.78630137,27.35342466,0,0,0,0,0,0,0,0
A230,0,61.11780822,30.01917808,1,50.94794521,31.76986301,0,0,0,0,0
A231,0,50.95068493,31.35616438,1,43.36438356,10.33972603,0,1,0,0,0
A232,0,55.11506849,31.02191781,1,50.44931507,28.68493151,0,1,0,0,0
A233,0,60.11780822,33.93972603,1,36.27123288,15.59178082,0,0,0,0,0
A234,0,60.12328767,34.69315068,1,40.10958904,16.59726027,0,1,0,0,0
A235,0,56.61917808,27.51506849,1,38.60547945,2,0,1,0,0,0
A236,0,54.78356164,27.43287671,1,38.52328767,1.917808219,0,1,0,0,0
A237,0,53.03561644,27.43287671,1,42.44109589,17.2630137,0,0,0,0,0
A238,1,58.46027397,34.02465753,1,34.44383562,13.34246575,0,1,0,0,0
A239,0,60.1260274,26.93424658,1,54.53424658,29.18630137,0,1,0,0,0
A240,0,51.45205479,32.2739726,1,49.20273973,18.09589041,0,1,0,0,1
A241,0,55.45205479,28.35068493,1,55.45205479,30.10410959,0,1,0,0,0
A242,1,55.45205479,28.18356164,0,0,0,0,1,0,0,0
A243,1,60.12328767,37.27123288,1,45.44657534,19.18082192,0,1,0,0,0
A244,0,53.8739726,26.01917808,0,0,0,0,0,0,0,0
A245,0,56.28767123,27.35068493,1,30.76712329,9.17260274,0,0,0,0,0
A246,1,50.36986301,29.2739726,1,40.44657534,14.0109589,0,1,0,0,1
A247,0,50.86849315,27.76986301,1,58.95890411,32.18630137,0,1,0,0,0
A248,0,58.70684932,36.19452055,0,0,0,0,1,0,0,0
A249,0,57.11780822,27.68493151,1,47.44657534,8.756164384,0,0,0,0,0
A250,0,50.36712329,25.84657534,0,0,0,0,0,0,0,0
A251,0,60.12328767,38.19178082,1,37.2739726,18.43013699,0,0,0,0,0
A252,0,54.28493151,26.76438356,1,30.76712329,9.17260274,0,0,0,0,0
A253,0,53.61643836,26.76438356,1,30.76712329,9.17260274,0,0,0,0,0
A254,0,53.86575342,25.67945205,0,0,0,0,0,0,0,0
A255,0,51.28219178,26.67945205,1,30.76712329,9.17260274,0,0,0,0,0
A256,0,53.53150685,26.51506849,0,0,0,0,0,0,0,0
A257,0,59.54520548,33.02465753,2,38.11232877,9.594520548,0,0,0,0,0
A258,0,60.1260274,34.93972603,1,38.94246575,16.67671233,0,0,0,0,0
A259,0,53.28493151,27.35068493,1,30.76712329,9.17260274,0,0,0,0,0
A260,0,56.70136986,27.35068493,1,30.76712329,9.17260274,0,0,0,0,0
A261,0,61.04109589,25.60273973,0,0,0,0,0,0,0,0
A262,0,60.1260274,27.60273973,1,39.69589041,9.75890411,0,0,0,0,0
A263,0,54.78630137,26.09863014,0,0,0,0,0,0,0,0
A264,0,59.20547945,27.09863014,1,30.76712329,9.17260274,0,0,0,0,0
A265,0,46.53424658,27.60547945,1,40.44657534,7.421917808,0,1,0,0,1
A266,0,54.45479452,31.27123288,0,0,0,0,1,0,0,0
A267,0,50.03287671,25.93150685,0,0,0,0,0,0,0,0
A268,0,51.86575342,26.93150685,1,37.60547945,8.920547945,0,0,0,0,0
A269,0,60.12328767,37.77260274,1,53.11780822,24.59726027,0,1,0,0,0
A270,0,60.1260274,33.18630137,0,0,0,0,0,0,0,0
A271,0,60.1260274,33.77260274,1,46.78082192,11.34520548,0,1,0,0,0
A272,0,56.03835616,28.27123288,0,0,0,0,1,0,0,0
A273,0,57.53424658,25.43561644,0,0,0,0,0,0,0,0
A274,0,49.70136986,28.43835616,1,49.11780822,22.93150685,0,0,0,0,1
A275,0,51.20273973,25.26575342,0,0,0,0,0,0,0,0
A276,0,56.61917808,26.26575342,1,30.76712329,9.17260274,0,0,0,0,0
A277,0,56.03835616,25.26575342,0,0,0,0,0,0,0,0
A278,0,51.69863014,26.26575342,1,30.76712329,9.17260274,0,0,0,0,0
A279,0,43.6109589,24.93424658,0,0,0,0,0,0,0,0
A280,0,60.12328767,40.85753425,1,40.27671233,19.59726027,0,1,0,0,0
A281,0,60.1260274,38.36164384,2,46.28219178,16.92876712,0,1,0,1,0
A282,1,60.1260274,30.68767123,0,0,0,0,0,0,0,0
A283,0,57.28767123,24.76438356,0,0,0,0,0,0,0,0
A284,0,52.11780822,25.76438356,1,30.76712329,9.17260274,0,0,0,0,0
A285,0,56.03835616,24.76438356,0,0,0,0,0,0,0,0
A286,1,60.12328767,33.51780822,2,60.04109589,27.6,0,0,0,0,0
A287,0,60.1260274,36.43835616,1,41.77808219,16.50958904,0,1,0,0,0
A288,0,60.12328767,38.86027397,1,47.45205479,17.76164384,0,0,0,0,0
A289,1,45.94794521,24.93424658,1,37.02465753,7.17260274,0,0,0,0,1
A290,0,48.61369863,26.34520548,1,34.1890411,5.750684932,0,1,0,0,0
A291,0,50.78082192,25.59726027,1,38.60547945,2,0,1,0,0,0
A292,0,60.1260274,35.02465753,1,39.19726027,16.43013699,0,0,0,1,0
A293,0,49.28219178,25.85205479,1,59.70684932,30.68767123,0,1,0,0,1
A294,0,52.7890411,31.44109589,1,40.10958904,16.59726027,0,1,0,0,0
A295,0,60.1260274,37.52876712,1,43.19452055,19.68219178,0,0,0,0,0
A296,0,60.1260274,36.94246575,2,37.60547945,11.6739726,0,1,0,1,0
A297,0,60.1260274,37.52876712,1,47.61643836,19.68219178,0,1,0,1,0
A298,0,60.1260274,37.61369863,1,47.36712329,25.77260274,0,1,0,0,0
A299,0,60.12328767,37.44383562,0,0,0,0,1,0,1,0
A300,0,60.12328767,36.27671233,1,58.95616438,36.27671233,0,1,0,0,0
A301,0,60.1260274,36.10958904,0,0,0,0,1,0,0,0
A302,0,51.36712329,24.93150685,1,37.60547945,8.920547945,0,0,0,0,0
A303,0,45.36438356,23.67945205,0,0,0,0,0,0,0,0
A304,0,55.44931507,24.67945205,1,30.76712329,9.17260274,0,0,0,0,0
A305,0,57.70136986,23.67945205,0,0,0,0,0,0,0,0
A306,0,57.61917808,25.10136986,1,34.1890411,5.750684932,0,0,0,0,0
A307,0,58.36712329,25.10136986,1,43.35890411,18.42465753,0,0,0,0,0
A308,0,48.94794521,24.93150685,1,34.27123288,5.832876712,0,1,0,0,0
A309,0,49.28493151,24.84931507,1,43.35890411,18.42465753,0,1,0,0,0
A310,0,52.70136986,24.51506849,1,34.1890411,5.750684932,0,0,0,0,0
A311,0,51.62191781,28.01917808,2,42.78082192,24.43561644,0,0,0,1,0
A312,0,57.45479452,29.26849315,1,49.86849315,24.9369863,0,1,0,1,0
A313,0,58.37534247,26.51506849,1,33.93972603,10.5890411,0,0,0,0,0
A314,0,57.62191781,33.44383562,0,0,0,0,0,0,1,0
A315,0,52.12054795,25.60547945,1,50.7890411,28.43835616,0,0,0,0,0
A316,0,54.29041096,26.52328767,0,0,0,0,1,0,0,1
A317,0,47.19726027,23.76438356,0,0,0,0,0,0,0,1
A318,0,60.1260274,35.2739726,1,47.61369863,19.59452055,0,0,0,0,0
A319,1,52.78630137,23.09863014,1,55.20547945,5.339726027,0,0,0,0,1
A320,0,61.11780822,23.01369863,1,43.10684932,18.17260274,0,0,0,0,0
A321,0,45.19726027,23.18082192,1,43.35890411,18.42465753,0,0,0,0,0
A322,0,51.95342466,23.01369863,1,43.35890411,18.42465753,0,1,0,0,0
A323,0,60.12328767,36.19178082,1,44.35890411,23.01643836,0,1,0,1,0
A324,0,60.12328767,32.68493151,0,0,0,0,1,0,0,0
A325,0,55.44931507,23.67945205,1,53.95342466,29.9369863,0,1,0,0,0
A326,1,60.12328767,32.43561644,0,0,0,0,1,0,1,0
A327,0,56.53424658,22.18082192,1,38.60547945,2,0,0,0,0,0
A328,0,45.6109589,22.09863014,1,43.35890411,18.42465753,0,0,0,0,0
A329,0,60.11780822,32.85479452,1,50.86849315,28.85205479,0,0,0,0,0
A330,0,60.1260274,22.01369863,1,38.52328767,1.917808219,0,1,0,0,0
A331,0,51.44931507,22.2630137,1,45.86575342,20.93424658,0,1,0,0,1
A332,0,57.54520548,34.60547945,1,45.03287671,21.68219178,0,1,0,0,0
A333,0,45.5260274,21.18082192,1,37.60547945,8.920547945,0,0,0,0,0
A334,0,43.6109589,21.18082192,1,30.76712329,9.17260274,0,0,0,0,0
A335,0,55.36986301,21.18082192,1,30.76712329,9.17260274,0,0,0,0,0
A336,0,60.12328767,36.93972603,0,0,0,0,1,0,1,0
A337,0,60.1260274,36.36164384,0,0,0,0,1,0,1,0
A338,0,60.1260274,26.60547945,1,38.61369863,18.68493151,0,0,0,0,0
A339,0,56.20821918,26.60821918,1,47.70410959,11.93150685,0,0,0,0,0
A340,0,49.45205479,23.26575342,0,0,0,0,1,0,0,1
A341,0,60.1260274,38.36438356,1,48.11780822,26.77534247,0,0,0,0,0
A342,0,51.5369863,26.60547945,0,0,0,0,1,0,1,1
A343,0,43.94794521,18.92328767,0,0,0,0,1,0,0,0
A344,0,60.1260274,34.19178082,1,44.8630137,15.75890411,0,1,0,0,0
A345,1,60.1260274,29.85479452,1,51.70136986,24.35068493,0,1,0,0,0
A346,1,60.1260274,27.68493151,1,48.95068493,26.18356164,0,1,0,0,0
A347,0,45.52876712,21.68219178,1,49.11780822,22.93150685,0,0,0,0,1
A348,0,53.19726027,30.85205479,0,0,0,0,1,0,0,1
A349,0,56.62739726,33.77808219,2,46.95616438,15.18082192,0,1,0,1,0
A350,0,56.29041096,24.60547945,0,0,0,0,0,0,0,0
A351,0,49.36986301,25.52054795,0,0,0,0,1,0,0,1
A352,0,43.44931507,21.26575342,1,49.36986301,23.18356164,0,1,0,0,1
A353,0,48.03287671,25.09863014,0,0,0,0,1,0,0,1
A354,1,60.12328767,36.68767123,2,33.43835616,10.09041096,0,1,0,0,0
A355,0,58.29041096,34.85479452,0,0,0,0,1,0,0,0
A356,0,42.10958904,18.50684932,0,0,0,0,1,0,0,1
A357,0,60.12328767,31.26575342,1,50.44931507,17.76164384,0,0,0,0,0
A358,1,58.45753425,36.9369863,1,56.95068493,28.18356164,0,1,0,0,0
A359,0,60.12328767,36.69315068,0,0,0,0,1,0,1,0
